date,weighted_sentiment,total_mentions,num_tickers,sentiment_ma7,sentiment_ma30,momentum,week
2009-02-24,0.509688138961792,1.0,1.0,,,,9
2009-03-07,0.48659074306488037,1.0,1.0,,,,10
2009-03-13,0.49356114864349365,1.0,1.0,,,,11
2009-04-19,0.5159857273101807,1.0,1.0,,,,16
2009-04-22,0.48759713768959045,2.0,2.0,,,,17
2009-04-30,0.49160847067832947,1.0,1.0,,,,18
2009-05-23,0.5081932544708252,1.0,1.0,0.4990320886884417,,,21
2009-08-30,0.5200088620185852,1.0,1.0,0.500506477696555,,,35
2009-10-21,0.5071711540222168,2.0,2.0,0.5034465364047459,,,43
2009-11-08,0.4886799156665802,6.0,6.0,0.502749217408044,,,45
2009-12-18,0.520694375038147,2.0,2.0,0.5034218813691821,,,51
