date,weighted_sentiment,total_mentions,num_tickers,sentiment_ma7,sentiment_ma30,momentum,week,month
2013-01-04,0.5567159652709961,5.0,5.0,,,,1,2013-01
2013-01-05,0.8100284934043884,6.0,6.0,,,,1,2013-01
2013-01-06,0.45908698439598083,36.0,18.0,,,,1,2013-01
2013-01-17,0.7732163667678833,12.0,12.0,,,,3,2013-01
2013-01-28,0.31447145342826843,5.0,5.0,,,,5,2013-01
2013-02-03,0.769882341225942,6.0,6.0,,,,5,2013-02
2013-02-04,0.6250090599060059,7.0,7.0,0.6154872377713521,,,6,2013-02
2013-02-07,0.7830774784088135,9.0,9.0,0.6478245967910403,,,6,2013-02
2013-02-16,0.35720306634902954,9.0,9.0,0.5831352500688461,,,7,2013-02
2013-02-17,0.8523833751678467,12.0,12.0,0.6393204487505413,,,7,2013-02
2013-02-18,0.5295789241790771,8.0,8.0,0.6045150998092833,,,8,2013-02
2013-02-19,0.7280238270759583,11.0,11.0,0.6635940103303818,,,8,2013-02
2013-02-22,0.38832801580429077,8.0,8.0,0.6090862495558602,,,8,2013-02
2013-02-25,0.4278254508972168,65.0,13.0,0.5809171625546047,,,9,2013-02
2013-02-26,0.5125997647182229,97.0,15.0,0.5422774891702346,,,9,2013-02
2013-02-27,0.8325091600418091,3.0,3.0,0.6101783596977745,,,9,2013-02
2013-02-28,0.07730841636657715,12.0,12.0,0.49945336558330744,,,9,2013-02
2013-03-07,0.8202536106109619,7.0,7.0,0.5409783207878623,,,10,2013-03
2013-03-10,0.7118317484855652,2.0,2.0,0.5386651667035205,,,10,2013-03
2013-03-12,0.39152222871780396,12.0,12.0,0.5391214828340224,,,11,2013-03
2013-03-14,0.4884454607963562,8.0,8.0,0.5477814842481852,,,11,2013-03
2013-03-20,0.5491951107978821,27.0,9.0,0.5530093908309937,,,12,2013-03
2013-03-25,0.8473372459411621,6.0,6.0,0.5551276888166156,,,13,2013-03
2013-03-29,0.7285552024841309,9.0,9.0,0.6481629439762661,,,13,2013-03
2013-03-31,0.7901257872581482,12.0,12.0,0.6438589692115784,,,13,2013-03
2013-04-01,0.7490872144699097,11.0,11.0,0.6491811786379132,,,14,2013-04
2013-04-02,0.08079154789447784,6.0,6.0,0.6047910813774381,,,14,2013-04
2013-04-03,0.6090301275253296,8.0,8.0,0.62201746233872,,,14,2013-04
2013-04-08,0.6780072450637817,8.0,8.0,0.6404191958052772,,,15,2013-04
2013-04-09,0.804405927658081,10.0,10.0,0.6342861503362656,0.6015278867037299,0.032758263632535645,15,2013-04
2013-04-15,0.5072969794273376,6.0,6.0,0.6026778327567237,0.599880587175608,0.002797245581115715,16,2013-04
2013-04-23,0.39152222871780396,3.0,3.0,0.5457344672509602,0.5859303783527218,-0.04019591110176157,17,2013-04
2013-04-24,0.8303550226347787,7.0,7.0,0.5573441541316557,0.5983059796273483,-0.040961825495692605,17,2013-04
2013-04-28,0.22921099125043207,23.0,15.0,0.5785469317539349,0.5801724671101,-0.0016255353561650532,17,2013-04
2013-04-29,0.08532742410898209,12.0,12.0,0.5037322598373138,0.5725343327994571,-0.06880207296214325,18,2013-04
2013-05-02,0.06717857718467712,14.0,14.0,0.41647102156887034,0.5491108739980817,-0.13263985242921134,18,2013-05
2013-05-03,0.66888028383255,7.0,7.0,0.3971102153080802,0.5505732481289665,-0.15346303282088625,18,2013-05
2013-05-06,0.8170641660690308,9.0,9.0,0.4413626705426078,0.5517061377176404,-0.11034346717503263,19,2013-05
2013-05-07,0.7357365489006042,10.0,10.0,0.4905361448544364,0.5643239204693595,-0.07378777561492311,19,2013-05
2013-05-11,0.8435731530189514,6.0,6.0,0.49242444919503253,0.5640302463977297,-0.07160579720269716,19,2013-05
2013-05-12,0.0918697863817215,11.0,11.0,0.47280427707093103,0.5494399418044845,-0.07663566473355349,19,2013-05
2013-05-13,0.4642717199666159,14.0,9.0,0.5269391764791644,0.5406482049008398,-0.013709028421675318,20,2013-05
2013-05-20,0.793105959892273,5.0,5.0,0.6306430882945353,0.5541408030371058,0.07650228525742953,21,2013-05
2013-05-22,0.12278593331575394,5.0,5.0,0.5526296096492788,0.5439728191177237,0.008656790531555103,21,2013-05
2013-05-23,0.38018978759646416,16.0,13.0,0.49021898415319776,0.5395591532136651,-0.04934016906046734,21,2013-05
2013-05-24,0.716317892074585,11.0,11.0,0.4874448903209093,0.535686110948091,-0.048241220627181725,21,2013-05
2013-05-30,0.7112241983413696,10.0,5.0,0.4685378967955405,0.5568166370139174,-0.0882787402183769,22,2013-05
2013-06-03,0.16478510200977325,8.0,8.0,0.4789543704566907,0.5349676867272112,-0.056013316270520475,23,2013-06
2013-06-05,0.24253354064728083,19.0,16.0,0.44727748769678566,0.5193244131326016,-0.07204692543581592,23,2013-06
2013-06-11,0.5291521617999444,13.0,9.0,0.4095698022550245,0.523912077568673,-0.11434227531364849,24,2013-06
2013-06-18,0.8096988201141357,12.0,6.0,0.5077002146547933,0.5346205228792656,-0.026920308224472334,25,2013-06
2013-07-02,0.39152222871780396,9.0,9.0,0.5093191348149847,0.529364760143263,-0.02004562532827825,27,2013-07
2013-07-04,0.7120820879936218,1.0,1.0,0.5087140199462757,0.524856254878345,-0.016142234932069233,27,2013-07
2013-07-06,0.7552762031555176,3.0,3.0,0.5150071634911539,0.5257469549007245,-0.010739791409570598,27,2013-07
2013-07-08,0.840520977973938,9.0,9.0,0.6115408600574632,0.5274267945912509,0.08411406546621236,28,2013-07
2013-07-10,0.33057257533073425,26.0,13.0,0.6241178650122423,0.513476306619945,0.11064155839229728,28,2013-07
2013-07-16,0.14210954073228335,19.0,14.0,0.5688260620025763,0.5155202397145385,0.05330582228803782,29,2013-07
2013-07-17,0.08434180170297623,7.0,7.0,0.4652036308009822,0.4980306288537934,-0.032826998052811196,29,2013-07
2013-07-18,0.8316221833229065,1.0,1.0,0.5280750528874254,0.5031511267957642,0.024923926091661164,29,2013-07
2013-07-19,0.6509389281272888,1.0,1.0,0.5193403157636636,0.4980355601447378,0.021304755618925753,29,2013-07
2013-07-23,0.5849233269691467,6.0,6.0,0.495004190594182,0.5006231050627982,-0.005618914468616176,30,2013-07
2013-07-28,0.8064718246459961,3.0,3.0,0.49014002583304744,0.5144547582604045,-0.0243147324273571,30,2013-07
2013-07-31,0.5790731310844421,8.0,8.0,0.5256401052264342,0.5060786952087267,0.019561410017707503,31,2013-07
2013-08-07,0.09326426684856415,9.0,9.0,0.5186622089573315,0.5015471377286644,0.017115071228667067,32,2013-08
2013-08-10,0.728885293006897,22.0,11.0,0.6107398505721774,0.5229990666919283,0.08774078388024908,32,2013-08
2013-08-12,0.2047075778245926,16.0,8.0,0.5211806212152753,0.5275833667132588,-0.006402745497983475,33,2013-08
2013-08-14,0.788257360458374,8.0,8.0,0.5407975401197161,0.5315626026007862,0.009234937518929898,33,2013-08
2013-08-15,0.08858346939086914,3.0,3.0,0.46989184617996216,0.5072799127115142,-0.03738806653155202,33,2013-08
2013-08-16,0.6627418994903564,4.0,4.0,0.4493589997291565,0.5048467577311726,-0.05548775800201611,33,2013-08
2013-08-20,0.7796235382556915,14.0,9.0,0.47800905789647785,0.5027151039057306,-0.024706046009252747,34,2013-08
2013-08-21,0.538426243123554,21.0,11.0,0.5416036259357621,0.5176003191304583,0.024003306805303715,34,2013-08
2013-08-29,0.6933691501617432,7.0,7.0,0.5365298912435973,0.5252369001369626,0.011292991106634731,35,2013-08
2013-08-30,0.2750323712825775,1.0,1.0,0.5465762903090237,0.5079677805166394,0.03860850979238428,35,2013-08
2013-09-03,0.6411415934562683,13.0,13.0,0.5255597521658657,0.5252463025213232,0.00031344964454249613,36,2013-09
2013-09-05,0.5558873414993286,5.0,5.0,0.59231744818136,0.5311028876514187,0.06121456052994134,36,2013-09
2013-09-09,0.8473372459411621,1.0,1.0,0.6186882119600465,0.5354701994469713,0.08321801251307526,37,2013-09
2013-09-12,0.36968475580215454,5.0,5.0,0.5601255287523983,0.5240855513623308,0.03603997739006748,37,2013-09
2013-09-17,0.7712410092353821,12.0,12.0,0.5933847810540881,0.5443007482698511,0.04908403278423701,38,2013-09
2013-09-20,0.08122774958610535,4.0,4.0,0.5059360095432827,0.5389238885678119,-0.032987879024529265,38,2013-09
2013-09-22,0.8147170543670654,12.0,12.0,0.5830338214124952,0.5484427183200492,0.03459110309244595,38,2013-09
2013-09-24,0.10809477418661118,4.0,4.0,0.5068842758025441,0.5250559167891318,-0.018171640986587634,39,2013-09
2013-09-25,0.7301456332206726,1.0,1.0,0.5317783174770219,0.5363433636058941,-0.004565046128872208,39,2013-09
2013-09-27,0.4643883297840754,15.0,11.0,0.477071329454581,0.5280869049989092,-0.05101557554432823,39,2013-09
2013-10-05,0.8461968302726746,3.0,3.0,0.5451444829503695,0.5311175925694811,0.014026890380888446,40,2013-10
