date,weighted_sentiment,total_mentions,num_tickers,sentiment_ma7,sentiment_ma30,momentum,week,month
2025-01-01,0.46293767829587973,218.0,32.0,,,,1,2025-01
2025-01-02,0.5110725178014764,477.0,36.0,,,,1,2025-01
2025-01-03,0.6347192966839669,357.0,48.0,,,,1,2025-01
2025-01-04,0.6500116442893307,215.0,34.0,,,,1,2025-01
2025-01-05,0.44139636617589306,231.0,42.0,,,,1,2025-01
2025-01-06,0.47694314868036186,772.0,64.0,,,,2,2025-01
2025-01-07,0.33417703623364936,617.0,89.0,0.5016082411657939,,,2,2025-01
2025-01-08,0.4632711562175383,424.0,47.0,0.5016558808688881,,,2,2025-01
2025-01-09,0.47002974826118676,844.0,60.0,0.49579262807741814,,,2,2025-01
2025-01-10,0.4526960177534464,328.0,45.0,0.46978930251591516,,,2,2025-01
2025-01-11,0.5466791304957207,521.0,51.0,0.45502751483111376,,,2,2025-01
2025-01-12,0.509958804854633,171.0,27.0,0.46482214892807655,,,2,2025-01
2025-01-13,0.6295389055864896,541.0,76.0,0.4866215427718092,,,3,2025-01
2025-01-14,0.638311911268448,420.0,40.0,0.5300693820624947,,,3,2025-01
2025-01-15,0.39659332603309305,250.0,33.0,0.520543977750431,,,3,2025-01
2025-01-16,0.24833612175349465,199.0,36.0,0.48887345967790363,,,3,2025-01
2025-01-17,0.5500673140740181,269.0,50.0,0.5027836448665567,,,3,2025-01
2025-01-18,0.5329688231580921,155.0,38.0,0.5008250295326098,,,3,2025-01
2025-01-19,0.5663578200691382,487.0,35.0,0.5088820317061105,,,3,2025-01
2025-01-20,0.634996815257886,372.0,49.0,0.5096617330877385,,,4,2025-01
2025-01-21,0.6680381499632986,557.0,79.0,0.5139083386155744,,,4,2025-01
2025-01-22,0.37452246020487573,385.0,43.0,0.5107553577829719,,,4,2025-01
2025-01-23,0.42288772947768405,293.0,36.0,0.5356913017435704,,,4,2025-01
2025-01-24,0.515972180599443,387.0,41.0,0.5308205683900596,,,4,2025-01
2025-01-25,0.5451264300500043,152.0,30.0,0.5325573693746185,,,4,2025-01
2025-01-26,0.6815961708592669,645.0,85.0,0.5490199909160655,,,4,2025-01
2025-01-27,0.35640136665195105,605.0,48.0,0.5092206411152177,,,5,2025-01
2025-01-28,0.4743772704931671,590.0,55.0,0.48155480119091315,,,5,2025-01
2025-01-29,0.5376731418108378,463.0,54.0,0.5048620414203364,,,5,2025-01
2025-01-30,0.4899345865688839,747.0,54.0,0.5144401638619363,0.5072531023207719,0.00718706154116433,5,2025-01
2025-01-31,0.408501673352304,552.0,54.0,0.49908723425520213,0.5054385688226526,-0.006351334567450462,5,2025-01
2025-02-01,0.3447485758587915,189.0,36.0,0.47046182651360036,0.49989443742456313,-0.029432610910962775,5,2025-02
2025-02-02,0.5418982566012844,507.0,47.0,0.45050498161960284,0.4968004027551404,-0.046295421135537584,5,2025-02
2025-02-03,0.6234097149718368,283.0,37.0,0.4886490313795865,0.49591367177789064,-0.007264640398304156,6,2025-02
2025-02-04,0.6268479576057239,368.0,49.0,0.5104305581099517,0.5020953914922183,0.00833516661773348,6,2025-02
2025-02-05,0.4243866384261532,339.0,41.0,0.49424677191213967,0.500343507817078,-0.006096735904938366,6,2025-02
2025-02-06,0.4155680385205903,443.0,54.0,0.483622979333812,0.5030565412266427,-0.019433561892830686,6,2025-02
2025-02-07,0.44981544284458036,387.0,33.0,0.48952494640413724,0.5026080174475441,-0.01308307104340689,6,2025-02
2025-02-08,0.5153641046788455,211.0,36.0,0.5138985933784307,0.5041191626614661,0.009779430716964632,6,2025-02
2025-02-09,0.3878338671881845,213.0,31.0,0.491889394890845,0.5019570909759573,-0.010067696085112321,6,2025-02
2025-02-10,0.45636156492371444,790.0,99.0,0.4680253734553989,0.49894650545689045,-0.030921132001491547,7,2025-02
2025-02-11,0.4360481568655203,476.0,61.0,0.44076825906394124,0.49648281719058673,-0.0557145581266455,7,2025-02
