date,weighted_sentiment,total_mentions,num_tickers,sentiment_ma7,sentiment_ma30,momentum,week,month
2014-01-01,0.3036555690424783,14.0,11.0,,,,1,2014-01
2014-01-02,0.15439317127068838,12.0,10.0,,,,1,2014-01
2014-01-03,0.7743066549301147,34.0,17.0,,,,1,2014-01
2014-01-04,0.5506224632263184,3.0,3.0,,,,1,2014-01
2014-01-07,0.8161867260932922,9.0,9.0,,,,2,2014-01
2014-01-08,0.4236210040174998,26.0,19.0,,,,2,2014-01
2014-01-11,0.2076617804440585,11.0,7.0,0.4614924812892072,,,2,2014-01
2014-01-15,0.6833666563034058,9.0,9.0,0.5157369223264825,,,3,2014-01
2014-01-19,0.5438022017478943,6.0,6.0,0.5713667838232263,,,3,2014-01
2014-01-20,0.5592036247253418,22.0,11.0,0.5406377795082588,,,4,2014-01
2014-01-22,0.061031121760606766,11.0,11.0,0.4706961592988713,,,4,2014-01
2014-01-23,0.6098436713218689,6.0,6.0,0.4412185800458109,,,4,2014-01
2014-01-24,0.060456753350221194,13.0,8.0,0.38933797280762816,,,4,2014-01
2014-01-26,0.674274817109108,16.0,12.0,0.4559969780454924,,,4,2014-01
2014-01-27,0.5777782797813416,1.0,1.0,0.44091292425662604,,,5,2014-01
2014-01-28,0.5952582955360413,45.0,15.0,0.44826379479778994,,,5,2014-01
2014-01-29,0.6157219409942627,16.0,8.0,0.45633783997906435,,,5,2014-01
2014-02-03,0.6478539109230042,3.0,3.0,0.540169667002264,,,6,2014-02
2014-02-04,0.3661532670259476,10.0,9.0,0.5053567521028466,,,6,2014-02
2014-02-13,0.3954838812351227,20.0,10.0,0.5532177703721183,,,7,2014-02
2014-02-27,0.46942409202456475,20.0,14.0,0.5239533810743263,,,9,2014-02
2014-02-28,0.5213456923762957,12.0,10.0,0.5158915828736055,,,9,2014-02
2014-03-03,0.3721913993358612,7.0,7.0,0.48402488341643696,,,10,2014-03
2014-03-04,0.7145839512348175,10.0,8.0,0.49814802773651623,,,10,2014-03
2014-03-07,0.07120272517204285,11.0,11.0,0.41576928691495035,,,10,2014-03
2014-03-09,0.7088680267333984,9.0,9.0,0.46472853830172905,,,10,2014-03
2014-03-11,0.10781263560056686,7.0,7.0,0.4236326460682211,,,11,2014-03
2014-03-12,0.6757110953330994,4.0,4.0,0.4531022179694403,,,11,2014-03
2014-03-13,0.3630216419696808,32.0,16.0,0.43048449648278103,,,11,2014-03
2014-03-14,0.33822226425011953,30.0,18.0,0.42563176289910365,0.46543531049563547,-0.03980354759653182,11,2014-03
2014-03-15,0.12984344363212585,3.0,3.0,0.34209740467014765,0.45964157298195707,-0.11754416831180942,11,2014-03
2014-03-19,0.5492417812347412,10.0,10.0,0.4103886983933903,0.4728031933140921,-0.06241449492070178,12,2014-03
2014-03-24,0.72750267220868,36.0,16.0,0.4130507906041448,0.471243060556711,-0.05819226995256621,13,2014-03
2014-03-25,0.3222060203552246,3.0,3.0,0.4436784169976673,0.46362917912767454,-0.019950762130007238,13,2014-03
2014-03-26,0.06878729164600372,3.0,3.0,0.3569750164709394,0.43871586464609824,-0.08174084817515886,13,2014-03
2014-03-28,0.08502305299043655,1.0,1.0,0.3172609323310473,0.42742926627852945,-0.11016833394748216,13,2014-03
2014-03-31,0.10781263560056686,5.0,5.0,0.284345271095397,0.4241009614504131,-0.13975569035501612,14,2014-03
2014-04-02,0.6497370852873876,13.0,8.0,0.35861579133186294,0.4229799757498791,-0.06436418441801617,14,2014-04
2014-04-03,0.4311341643333435,18.0,9.0,0.34174327463166326,0.4192243745027274,-0.07748109987106416,14,2014-04
2014-04-04,0.3175010085105896,34.0,17.0,0.2831716083890789,0.4111676206289024,-0.1279960122398235,14,2014-04
