date,sentiment,post_count
2014-01-01,0.41403723,7
2014-01-02,0.2891606,10
2014-01-03,0.44985172,7
2014-01-04,0.52495974,4
2014-01-05,0.43953165,5
2014-01-06,0.4115301,4
2014-01-07,0.28771332,7
2014-01-08,0.4937394,12
2014-01-09,0.2565715,3
2014-01-10,0.4575963,11
2014-01-11,0.4662724,4
2014-01-12,0.16028607,1
2014-01-13,0.2516206,7
2014-01-14,0.2237217,12
2014-01-15,0.25154248,15
2014-01-16,0.5029961,7
2014-01-17,0.37693977,12
2014-01-18,0.37835196,10
2014-01-19,0.4543957,5
2014-01-20,0.33276594,6
2014-01-21,0.37228188,3
2014-01-22,0.43022493,13
2014-01-23,0.34061915,5
2014-01-24,0.23660427,9
2014-01-25,0.33902764,4
2014-01-26,0.4103667,9
2014-01-27,0.2686738,3
2014-01-28,0.47105104,14
2014-01-29,0.41574505,7
2014-01-30,0.3494123,11
2014-01-31,0.19813175,7
2014-02-03,0.24207029,4
2014-02-04,0.23100133,10
2014-02-05,0.3161822,8
2014-02-06,0.3104838,5
2014-02-07,0.30397224,4
2014-02-08,0.37173092,2
2014-02-09,0.44251028,5
2014-02-10,0.26442686,9
2014-02-11,0.3554914,3
2014-02-12,0.26592347,10
2014-02-13,0.3484393,19
2014-02-14,0.30158618,9
2014-02-15,0.30293027,10
2014-02-16,0.5067298,6
2014-02-17,0.3693551,9
2014-02-18,0.37222996,24
2014-02-19,0.41142336,5
2014-02-20,0.349784,3
2014-02-21,0.24067381,8
2014-02-22,0.44080773,5
2014-02-23,0.5520104,8
2014-02-24,0.2337357,9
2014-02-25,0.47887212,5
2014-02-26,0.429133,1
2014-02-27,0.36895183,11
2014-02-28,0.2888989,8
2014-03-01,0.11355269,3
2014-03-02,0.5161886,1
2014-03-03,0.4646739,7
2014-03-04,0.40335253,19
2014-03-05,0.32375184,10
2014-03-06,0.44063652,9
2014-03-07,0.5032859,11
2014-03-08,0.2956523,2
2014-03-09,0.35876134,7
2014-03-10,0.29957762,6
2014-03-11,0.28726995,8
2014-03-12,0.32229745,5
2014-03-13,0.462974,10
2014-03-14,0.30310684,16
2014-03-15,0.33401772,6
2014-03-16,0.41508946,4
2014-03-17,0.3082894,8
2014-03-18,0.2896748,7
2014-03-19,0.43029577,10
2014-03-20,0.18305394,5
2014-03-21,0.2998583,4
2014-03-22,0.27184018,5
2014-03-23,0.24225089,4
2014-03-24,0.35599783,12
2014-03-25,0.25799674,6
2014-03-26,0.4650564,13
2014-03-27,0.26241952,7
2014-03-28,0.37063253,5
2014-03-29,0.46304867,2
2014-03-30,0.51314497,7
2014-03-31,0.34342018,5
2014-04-01,0.41740578,7
2014-04-02,0.40122634,9
2014-04-03,0.50388825,16
2014-04-04,0.48515928,13
2014-04-05,0.35059506,2
2014-04-06,0.65415007,2
2014-04-07,0.32888335,5
2014-04-08,0.4043153,4
2014-04-09,0.23818076,4
2014-04-10,0.33995622,5
2014-04-11,0.35207886,20
2014-04-12,0.57254845,3
2014-04-13,0.43264106,6
2014-04-14,0.38415197,7
2014-04-15,0.38661042,7
2014-04-16,0.43267336,9
2014-04-17,0.4712416,18
2014-04-18,0.33302397,4
2014-04-19,0.29653123,2
2014-04-20,0.41051635,3
2014-04-21,0.30648595,5
2014-04-22,0.27749214,4
2014-04-23,0.41767594,9
2014-04-24,0.32130098,4
2014-04-25,0.37652418,11
2014-04-26,0.37975368,9
2014-04-27,0.48750466,5
2014-04-28,0.3209915,14
2014-04-29,0.09370921,5
2014-04-30,0.2706391,12
2014-05-01,0.42087823,13
2014-05-02,0.45601574,7
2014-05-03,0.4634273,6
2014-05-04,0.4033295,1
2014-05-05,0.4403815,7
2014-05-06,0.27078706,9
2014-05-07,0.30322713,9
2014-05-08,0.3727361,5
2014-05-09,0.418454,8
2014-05-10,0.5316377,3
2014-05-11,0.36445647,2
2014-05-12,0.33164287,5
2014-05-13,0.37578323,12
2014-05-14,0.42954686,2
2014-05-15,0.29814836,7
2014-05-16,0.37780276,10
2014-05-17,0.44579473,7
2014-05-18,0.42961478,7
2014-05-19,0.33844355,10
2014-05-20,0.30977833,8
2014-05-21,0.5083338,9
2014-05-22,0.35633898,12
2014-05-23,0.2718926,4
2014-05-24,0.104741685,1
2014-05-25,0.6691413,7
2014-05-26,0.26107264,3
2014-05-27,0.27489477,6
2014-05-28,0.25139207,4
