date,sentiment,post_count
2015-01-01,0.6284652,2
2015-01-02,0.7102798,17
2015-01-03,0.7384525,9
2015-01-04,0.5577795,3
2015-01-05,0.58542216,11
2015-01-06,0.48684266,13
2015-01-07,0.4782435,10
2015-01-08,0.31348446,6
2015-01-09,0.6695685,11
2015-01-10,0.46908483,5
2015-01-11,0.6112238,2
2015-01-12,0.49283996,9
2015-01-13,0.60620576,10
2015-01-14,0.49002454,11
2015-01-15,0.23523614,14
2015-01-16,0.39664602,13
2015-01-17,0.118742585,1
2015-01-18,0.5197662,9
2015-01-19,0.59531564,17
2015-01-20,0.5833351,16
2015-01-21,0.61123276,10
2015-01-22,0.61450386,9
2015-01-23,0.5988127,1
2015-01-24,0.71788055,5
2015-01-25,0.82280004,5
2015-01-26,0.5212717,6
2015-01-27,0.67468864,12
2015-01-28,0.3627034,19
2015-01-29,0.33713958,10
2015-01-30,0.38242695,4
2015-01-31,0.52946585,4
2015-02-01,0.42351854,4
2015-02-02,0.557283,9
2015-02-03,0.6000185,21
2015-02-04,0.4309624,16
2015-02-05,0.3767718,12
2015-02-06,0.6856404,4
2015-02-07,0.39144224,4
2015-02-08,0.70311356,7
2015-02-09,0.50042605,9
2015-02-10,0.43199557,8
2015-02-11,0.44017673,6
2015-02-12,0.3852065,11
2015-02-13,0.5680285,10
2015-02-14,0.6043015,6
2015-02-15,0.5059234,1
2015-02-16,0.62317115,21
2015-02-17,0.32853946,6
2015-02-18,0.53626925,13
2015-02-19,0.54679567,12
2015-02-20,0.515687,5
2015-02-21,0.6730734,5
2015-02-22,0.622395,10
2015-02-23,0.59081155,19
2015-02-24,0.47911847,11
2015-02-25,0.6971789,19
2015-02-26,0.3456503,8
2015-02-27,0.38215986,7
2015-02-28,0.5487208,11
2015-03-02,0.33550772,13
2015-03-03,0.41243404,14
2015-03-04,0.4789915,5
2015-03-05,0.5376637,4
2015-03-06,0.6354652,8
2015-03-07,0.5096748,6
2015-03-08,0.15618211,1
2015-03-09,0.32224482,10
2015-03-10,0.6190998,11
