date,sentiment,post_count
2016-01-01,0.37660944,6
2016-01-02,0.5768009,6
2016-01-03,0.5086212,26
2016-01-04,0.50914997,7
2016-01-05,0.32051945,13
2016-01-06,0.514479,21
2016-01-07,0.4036829,26
2016-01-08,0.41564485,23
2016-01-09,0.24703503,4
2016-01-10,0.29901665,12
2016-01-11,0.43598232,15
2016-01-12,0.3090188,19
2016-01-13,0.31036958,14
2016-01-14,0.3568169,16
2016-01-15,0.33539566,12
2016-01-16,0.8106564,29
2016-01-17,0.42131478,7
2016-01-18,0.42914647,19
2016-01-19,0.25788274,12
2016-01-20,0.3474657,9
2016-01-21,0.35233867,13
2016-01-22,0.1989627,13
2016-01-23,0.3773478,3
2016-01-24,0.33714762,5
2016-01-25,0.36549214,27
2016-01-26,0.29224628,13
2016-01-27,0.2780554,14
2016-01-28,0.2722131,10
2016-01-29,0.51984626,24
2016-01-30,0.36343664,13
2016-01-31,0.35694778,1
2016-02-01,0.38592717,11
2016-02-02,0.28279006,21
2016-02-03,0.28445694,9
2016-02-04,0.47726744,20
2016-02-05,0.4638922,13
2016-02-06,0.25669628,4
2016-02-07,0.33726683,3
2016-02-08,0.40519205,8
2016-02-09,0.38229275,11
2016-02-10,0.16195944,8
2016-02-11,0.2582197,11
2016-02-12,0.34554425,15
2016-02-13,0.4926318,8
2016-02-14,0.20245461,4
2016-02-15,0.36580327,5
2016-02-16,0.4162366,18
2016-02-17,0.33396605,15
2016-02-18,0.2369928,20
2016-02-19,0.42886436,15
2016-02-20,0.46799764,2
2016-02-21,0.5006636,7
2016-02-22,0.375118,9
2016-02-23,0.40609634,13
2016-02-24,0.19488628,12
2016-02-25,0.673378,32
2016-02-26,0.3041853,10
2016-02-27,0.5043794,14
2016-02-28,0.42405048,17
2016-02-29,0.35601324,9
2016-03-01,0.33924475,7
2016-03-02,0.54420435,11
2016-03-03,0.27588966,24
2016-03-04,0.37728405,6
2016-03-05,0.5566008,4
2016-03-06,0.3591933,6
2016-03-07,0.44336572,6
2016-03-08,0.26692933,8
2016-03-09,0.3462758,16
2016-03-10,0.35677433,6
2016-03-11,0.25946176,5
2016-03-12,0.6325755,2
2016-03-13,0.4308706,8
2016-03-14,0.42365596,14
2016-03-15,0.40189642,13
2016-03-16,0.5349237,13
2016-03-17,0.31389925,15
2016-03-18,0.57082194,10
2016-03-19,0.29094929,4
2016-03-20,0.35615104,7
2016-03-21,0.4936387,25
2016-03-22,0.72914773,47
2016-03-23,0.28487965,19
2016-03-24,0.5117671,8
2016-03-25,0.7637588,23
2016-03-26,0.28262338,10
2016-03-27,0.17583512,4
2016-03-28,0.4491912,22
2016-03-29,0.6418674,26
2016-03-30,0.35134757,18
2016-03-31,0.4611574,22
2016-04-01,0.34097713,13
2016-04-02,0.26463032,11
2016-04-03,0.3014631,9
2016-04-04,0.3396073,32
2016-04-05,0.3174738,25
2016-04-06,0.5652163,24
2016-04-07,0.26924652,17
2016-04-08,0.3491334,17
2016-04-09,0.51147777,7
