date,sentiment,post_count
2017-01-01,0.7654521,24
2017-01-02,0.41497052,15
2017-01-03,0.69023824,13
2017-01-04,0.59711444,21
2017-01-05,0.56527936,28
2017-01-06,0.1565753,6
2017-01-07,0.4765433,8
2017-01-08,0.45907152,18
2017-01-09,0.17946029,33
2017-01-10,0.47231165,20
2017-01-11,0.7163597,38
2017-01-12,0.70751995,23
2017-01-13,0.41804406,38
2017-01-14,0.36156628,7
2017-01-15,0.10060289,3
2017-01-16,0.5171914,54
2017-01-17,0.76455325,55
2017-01-18,0.6956431,41
2017-01-19,0.78972894,50
2017-01-20,0.5526157,45
2017-01-21,0.092894726,33
2017-01-22,0.7812776,32
2017-01-23,0.8285986,53
2017-01-24,0.76318365,94
2017-01-25,0.82225543,81
2017-01-26,0.7481154,56
2017-01-27,0.7924436,30
2017-01-28,0.2207941,26
2017-01-29,0.862425,25
2017-01-30,0.79815775,68
2017-01-31,0.79002964,73
2017-02-01,0.8552148,105
2017-02-02,0.77278316,40
2017-02-03,0.5118055,23
2017-02-04,0.34815904,33
2017-02-05,0.8374621,34
2017-02-06,0.8292779,71
2017-02-07,0.82292485,57
2017-02-08,0.89024,121
2017-02-09,0.6150887,59
2017-02-10,0.56535864,35
2017-02-11,0.10291107,23
2017-02-12,0.87573916,34
2017-02-13,0.8128734,78
2017-02-14,0.8051998,73
2017-02-15,0.86685,91
2017-02-16,0.55072415,40
2017-02-17,0.3919101,26
2017-02-18,0.55268997,31
2017-02-19,0.35263222,8
2017-02-20,0.8315525,56
2017-02-21,0.69597405,78
2017-02-22,0.82854646,78
2017-02-23,0.5969257,52
2017-02-24,0.6999593,19
2017-02-25,0.48338327,10
2017-02-26,0.45215002,53
2017-02-27,0.5660981,88
2017-02-28,0.44642684,60
2017-03-01,0.60070014,72
2017-03-02,0.19934489,52
2017-03-03,0.5055617,37
2017-03-04,0.3559819,8
2017-03-05,0.43971893,27
2017-03-06,0.5718798,42
2017-03-07,0.6673633,51
2017-03-08,0.55785304,34
2017-03-09,0.583975,39
2017-03-10,0.43441406,17
2017-03-11,0.43491122,25
2017-03-12,0.42570552,24
2017-03-13,0.55456203,24
2017-03-14,0.4862322,20
2017-03-15,0.5991133,36
2017-03-16,0.614214,29
2017-03-17,0.6311631,20
2017-03-18,0.49373925,18
2017-03-19,0.16226037,10
2017-03-20,0.44589224,20
2017-03-21,0.3363285,38
2017-03-22,0.639513,39
2017-03-23,0.6327171,36
2017-03-24,0.40688673,16
2017-03-25,0.4875972,8
2017-03-26,0.6269512,7
2017-03-27,0.4762741,24
2017-03-28,0.4258207,24
2017-03-29,0.46629396,20
2017-03-30,0.67912596,56
2017-03-31,0.8113747,25
2017-04-01,0.1014114,4
2017-04-02,0.7468049,6
2017-04-03,0.55101675,26
2017-04-04,0.47809622,28
2017-04-05,0.7479705,30
2017-04-06,0.5889638,30
2017-04-07,0.34430075,33
2017-04-08,0.60679054,12
2017-04-09,0.7294504,8
2017-04-10,0.55628556,40
2017-04-11,0.61869156,29
2017-04-12,0.5622537,12
2017-04-13,0.40230983,10
2017-04-14,0.42227092,21
2017-04-15,0.54261583,4
2017-04-16,0.28939337,4
2017-04-17,0.589396,36
2017-04-18,0.33715025,24
2017-04-19,0.6061901,34
2017-04-20,0.4411592,27
2017-04-21,0.44869745,34
2017-04-22,0.27050707,49
2017-04-23,0.46830386,14
2017-04-24,0.6419944,35
2017-04-25,0.43136695,24
2017-04-26,0.6330898,40
2017-04-27,0.4428801,18
2017-04-28,0.41557512,31
2017-04-29,0.23989323,26
2017-04-30,0.6419835,3
2017-05-01,0.639652,21
2017-05-02,0.36133784,20
2017-05-03,0.32447848,39
2017-05-04,0.4176965,29
2017-05-05,0.40823057,57
2017-05-06,0.52597266,8
2017-05-07,0.4982613,19
2017-05-08,0.33345756,24
2017-05-09,0.5730527,35
2017-05-10,0.5835022,35
2017-05-11,0.48930553,31
2017-05-12,0.24508637,41
2017-05-13,0.121634915,29
2017-05-14,0.69696033,19
2017-05-15,0.70479685,56
2017-05-16,0.5898136,30
2017-05-17,0.7133597,60
2017-05-18,0.6534488,49
2017-05-19,0.35926068,13
2017-05-20,0.23438022,19
2017-05-21,0.8295621,24
2017-05-22,0.30414128,78
2017-05-23,0.5391727,36
2017-05-24,0.48795286,30
2017-05-25,0.43368888,39
2017-05-26,0.5319847,28
2017-05-27,0.47009134,28
2017-05-28,0.47114453,9
2017-05-29,0.8216474,26
2017-05-30,0.29598808,34
2017-05-31,0.70517534,26
2017-06-01,0.63202775,52
2017-06-02,0.35083464,40
2017-06-03,0.37567028,30
2017-06-04,0.36079162,10
2017-06-05,0.31585464,49
2017-06-06,0.39474887,52
2017-06-07,0.36757463,15
2017-06-08,0.6033743,37
2017-06-09,0.37255925,22
2017-06-10,0.5887351,21
2017-06-11,0.4783245,10
2017-06-12,0.44840166,35
2017-06-13,0.5254572,17
2017-06-14,0.29267153,29
2017-06-15,0.48527694,25
2017-06-16,0.42951906,42
2017-06-17,0.22626846,24
2017-06-18,0.48923355,8
2017-06-19,0.51996046,27
2017-06-20,0.57884157,48
2017-06-21,0.3948849,27
2017-06-22,0.6143342,26
2017-06-23,0.36006683,21
2017-06-24,0.2857806,51
2017-06-25,0.6876722,25
2017-06-26,0.68324035,36
2017-06-27,0.49829978,26
2017-06-28,0.4406306,9
2017-06-29,0.37053254,38
2017-06-30,0.32596472,30
2017-07-01,0.71303535,29
2017-07-02,0.18132246,114
2017-07-03,0.6331251,25
2017-07-04,0.37096074,7
2017-07-05,0.39905766,14
2017-07-06,0.51794416,19
2017-07-07,0.45117098,20
2017-07-08,0.68112993,25
2017-07-09,0.44315523,7
2017-07-10,0.29363567,10
2017-07-11,0.27813148,38
2017-07-12,0.3605236,27
2017-07-13,0.6099485,20
2017-07-14,0.23704982,33
2017-07-15,0.08184143,38
2017-07-16,0.62580746,26
2017-07-17,0.35627183,33
2017-07-18,0.3863609,29
2017-07-19,0.44969562,26
2017-07-20,0.5837556,29
2017-07-21,0.57445925,44
2017-07-22,0.13817158,71
2017-07-23,0.7626023,24
2017-07-24,0.5731853,45
2017-07-25,0.48702386,26
2017-07-26,0.7006859,56
2017-07-27,0.61611074,48
2017-07-28,0.55759037,38
2017-07-29,0.40833634,35
2017-07-30,0.5565731,19
2017-07-31,0.6756649,34
2017-08-01,0.36997545,39
2017-08-02,0.6390159,36
2017-08-03,0.6191313,49
2017-08-04,0.3813771,27
2017-08-05,0.36485392,35
2017-08-06,0.5877421,17
2017-08-07,0.69089895,36
2017-08-08,0.45723334,19
2017-08-09,0.74893415,56
2017-08-10,0.50593495,24
2017-08-11,0.4876539,34
2017-08-12,0.08862734,60
2017-08-13,0.5902483,10
2017-08-14,0.5592886,34
2017-08-15,0.3274843,53
2017-08-16,0.5032469,41
2017-08-17,0.53888893,67
2017-08-18,0.39146167,16
2017-08-19,0.23281963,39
2017-08-20,0.41811466,6
2017-08-21,0.4019741,17
2017-08-22,0.33649275,87
2017-08-23,0.5761031,22
2017-08-24,0.39181563,46
2017-08-25,0.42157078,16
2017-08-26,0.29126987,53
2017-08-27,0.36966634,8
2017-08-28,0.504061,22
2017-08-29,0.5061717,38
2017-08-30,0.48317465,30
2017-08-31,0.21486323,17
2017-09-01,0.43788135,18
2017-09-02,0.24600609,25
2017-09-03,0.53488,30
2017-09-04,0.42473155,19
2017-09-05,0.29220358,29
2017-09-06,0.5330498,23
2017-09-07,0.318651,49
2017-09-08,0.21679096,39
2017-09-09,0.33548877,20
2017-09-10,0.49352804,12
2017-09-11,0.37795067,32
2017-09-12,0.5482415,63
2017-09-13,0.2957561,58
2017-09-14,0.4959341,53
2017-09-15,0.30992824,30
2017-09-16,0.19854984,27
2017-09-17,0.37335935,20
2017-09-18,0.4791057,25
2017-09-19,0.4413339,34
2017-09-20,0.49584934,52
2017-09-21,0.56788933,53
2017-09-22,0.52582526,41
2017-09-23,0.2767076,20
2017-09-24,0.4243009,18
2017-09-25,0.67390114,33
2017-09-26,0.54704094,42
2017-09-27,0.59388846,71
2017-09-28,0.68874407,53
2017-09-29,0.45449892,48
2017-09-30,0.34937456,46
2017-10-01,0.4408155,27
2017-10-02,0.4919868,46
2017-10-03,0.32992977,42
2017-10-04,0.42122054,28
2017-10-05,0.5923665,51
2017-10-06,0.454915,49
2017-10-07,0.22837496,25
2017-10-08,0.39050123,24
2017-10-09,0.5840541,25
2017-10-10,0.6819959,56
2017-10-11,0.7311701,127
2017-10-12,0.25139165,24
2017-10-13,0.56790274,35
2017-10-14,0.1599089,99
2017-10-15,0.61828494,25
2017-10-16,0.42680788,128
2017-10-17,0.6192018,43
2017-10-18,0.63231903,50
2017-10-19,0.5398651,78
2017-10-20,0.7164723,47
2017-10-21,0.082363896,106
2017-10-22,0.6197836,9
2017-10-23,0.49861586,30
2017-10-24,0.54899836,39
2017-10-25,0.5187333,53
2017-10-26,0.41272047,17
2017-10-27,0.65820247,37
2017-10-28,0.13022254,43
2017-10-29,0.7217218,11
2017-10-30,0.6976371,56
2017-10-31,0.4061077,36
2017-11-01,0.46048182,43
2017-11-02,0.38237083,32
2017-11-03,0.20915037,24
2017-11-04,0.19402504,52
2017-11-05,0.2757697,20
2017-11-06,0.37726957,40
2017-11-07,0.58288836,59
2017-11-08,0.5230745,37
2017-11-09,0.4858598,34
2017-11-10,0.38227358,37
2017-11-11,0.29559097,31
2017-11-12,0.5034987,20
2017-11-13,0.46375635,58
2017-11-14,0.5450836,26
2017-11-15,0.59461313,24
2017-11-16,0.46924952,48
2017-11-17,0.40226287,33
2017-11-18,0.22209117,41
2017-11-19,0.3782601,28
2017-11-20,0.41345635,19
2017-11-21,0.55392706,39
2017-11-22,0.38292086,48
2017-11-23,0.47616363,21
2017-11-24,0.6381654,18
2017-11-25,0.2602406,42
2017-11-26,0.5778165,32
2017-11-27,0.39657268,27
2017-11-28,0.47727415,48
2017-11-29,0.56167203,65
2017-11-30,0.3505986,36
2017-12-01,0.6359213,35
2017-12-02,0.2626046,41
2017-12-03,0.3539379,14
2017-12-04,0.47220674,39
2017-12-05,0.5307163,40
2017-12-06,0.38113374,41
2017-12-07,0.49207756,25
2017-12-08,0.28275108,26
2017-12-09,0.38697326,32
2017-12-10,0.3756036,19
2017-12-11,0.5080743,19
2017-12-12,0.43786868,29
2017-12-13,0.43730554,38
2017-12-14,0.2921049,27
2017-12-15,0.5265836,29
2017-12-16,0.15755996,36
2017-12-17,0.65967256,28
2017-12-18,0.4290531,23
2017-12-19,0.5251132,21
2017-12-20,0.6352437,57
2017-12-21,0.36419654,50
2017-12-22,0.37461945,25
2017-12-23,0.71896714,12
2017-12-24,0.69922525,24
2017-12-25,0.51310885,23
2017-12-26,0.2955725,17
2017-12-27,0.5555294,23
2017-12-28,0.51094544,30
2017-12-29,0.44535235,48
2017-12-30,0.5143328,43
