date,weighted_sentiment,total_mentions,num_tickers,sentiment_ma7,sentiment_ma30,momentum,week,month
2017-01-01,0.06131153553724289,14.0,14.0,,,,52,2017-01
2017-01-03,0.5339021749794484,10.0,8.0,,,,1,2017-01
2017-01-04,0.021945030242204667,10.0,9.0,,,,1,2017-01
2017-01-05,0.9892329062734332,21.0,14.0,,,,1,2017-01
2017-01-06,0.02165667526423931,14.0,14.0,,,,1,2017-01
2017-01-07,0.41924148478678297,14.0,9.0,,,,1,2017-01
2017-01-08,0.03508635939044111,34.0,17.0,0.2974823094962561,,,1,2017-01
2017-01-09,0.5011569857597351,230.0,115.0,0.36031737381375495,,,2,2017-01
2017-01-10,0.031183380633592606,28.0,14.0,0.2885004031929184,,,2,2017-01
2017-01-11,0.6267073277769417,58.0,24.0,0.3748950171264523,,,2,2017-01
2017-01-12,0.7596287933133897,21.0,17.0,0.3420944295607318,,,2,2017-01
2017-01-13,0.14663630723953247,17.0,17.0,0.35994866270005943,,,2,2017-01
2017-01-16,0.554871579495872,41.0,27.0,0.3793243905156435,,,3,2017-01
2017-01-17,0.7611846923828125,120.0,20.0,0.483052723800268,,,3,2017-01
2017-01-18,0.5303036555265769,117.0,25.0,0.48721653376695967,,,3,2017-01
2017-01-19,0.3674728467324099,86.0,50.0,0.5352578860667907,,,3,2017-01
2017-01-20,0.5469610010822342,73.0,44.0,0.5238655536818325,,,3,2017-01
2017-01-22,0.5808821892132983,48.0,24.0,0.4983303245246766,,,3,2017-01
2017-01-23,0.3738146424293518,288.0,32.0,0.5307843724089365,,,4,2017-01
2017-01-24,0.4579734247569265,414.0,77.0,0.5169417788748014,,,4,2017-01
2017-01-25,0.7785747293190196,290.0,59.0,0.5194260698656882,,,4,2017-01
2017-01-26,0.68854646686593,145.0,66.0,0.5420321857713101,,,4,2017-01
2017-01-27,0.03649376332759857,7.0,7.0,0.4947494595706227,,,4,2017-01
2017-01-28,0.0211858581751585,6.0,6.0,0.4196387248696119,,,4,2017-01
2017-01-29,0.8388834026455879,25.0,24.0,0.45649604107422476,,,4,2017-01
2017-01-30,0.21569096311958957,290.0,56.0,0.43390694402997293,,,5,2017-01
2017-01-31,0.5953428951310523,324.0,46.0,0.45353115408341954,,,5,2017-01
2017-02-01,0.24600845575332642,550.0,50.0,0.37745025785974906,,,5,2017-02
2017-02-02,0.7629748882932795,72.0,55.0,0.3880828894922275,,,5,2017-02
2017-02-03,0.006599966866465716,13.0,9.0,0.3838123471406371,0.41704847941044915,-0.033236132269812035,5,2017-02
2017-02-04,0.03330486640334129,39.0,13.0,0.38554363403037756,0.4161149237726524,-0.030571289742274854,5,2017-02
2017-02-05,0.4731764793395996,238.0,34.0,0.33329978784380776,0.4140907339179908,-0.08079094607418302,5,2017-02
2017-02-06,0.05331925013419335,394.0,74.0,0.31010382884589405,0.41513654124772376,-0.10503271240182971,6,2017-02
2017-02-07,0.7181180291956971,126.0,48.0,0.3276431337122719,0.4060993786784659,-0.07845624496619402,6,2017-02
2017-02-08,0.6380154279742394,903.0,75.0,0.38364412974383083,0.4266446704354659,-0.04300054069163506,6,2017-02
2017-02-09,0.4919215818146365,199.0,66.0,0.3449222288183104,0.4290673403363944,-0.08414511151808396,6,2017-02
2017-02-10,0.6195048869258779,34.0,18.0,0.4324800745410836,0.4485479579209089,-0.016067883379825287,6,2017-02
2017-02-11,0.9926817119121552,16.0,14.0,0.5695339096137714,0.4649321154593229,0.10460179415444848,6,2017-02
2017-02-12,0.5941926683425098,111.0,36.0,0.586821936614187,0.4836990917162868,0.10312284489790025,6,2017-02
2017-02-13,0.39980268916918404,429.0,52.0,0.6363195707620429,0.47613560376269487,0.16018396699934806,7,2017-02
2017-02-14,0.5377422459870219,417.0,46.0,0.6105516017322321,0.4687393855184826,0.1418122162137495,7,2017-02
2017-02-15,0.23224531597382314,444.0,73.0,0.5525844428750298,0.471593019142959,0.08099142373207086,7,2017-02
2017-02-16,0.7309469503679258,136.0,35.0,0.5867309240969283,0.47746219817202745,0.10926872592490083,7,2017-02
2017-02-17,0.1186334234337474,43.0,21.0,0.5151778578837668,0.45604382254039194,0.05913403534337486,7,2017-02
2017-02-18,0.033211175352334976,32.0,32.0,0.378110638375221,0.4394740732012506,-0.06136343482602957,7,2017-02
