date,weighted_sentiment,total_mentions,num_tickers,sentiment_ma7,sentiment_ma30,momentum,week
2010-04-14,0.49806909263134,2.0,2.0,,,,15
2010-05-05,0.5126850008964539,1.0,1.0,,,,18
2010-05-08,0.4779910147190094,2.0,2.0,,,,18
2010-05-12,0.50238037109375,1.0,1.0,,,,19
2010-05-26,0.499359130859375,5.0,5.0,,,,21
2010-06-09,0.49178385734558105,1.0,1.0,,,,23
2010-09-19,0.5055005550384521,5.0,5.0,0.4982527175119945,,,37
2010-09-26,0.4824519753456116,5.0,5.0,0.49602170075689045,,,38
2010-11-02,0.49501821398735046,1.0,1.0,0.4934978740555899,,,44
2010-12-16,0.49819186329841614,1.0,1.0,0.4963837095669338,,,50
