date,sentiment,post_count
2023-01-01,0.5146702,70
2023-01-02,0.6445062,129
2023-01-03,0.33041877,170
2023-01-04,0.56605816,269
2023-01-05,0.55443805,160
2023-01-06,0.5799449,128
2023-01-07,0.5635002,143
2023-01-08,0.519287,93
2023-01-09,0.5725856,108
2023-01-10,0.3490705,116
2023-01-11,0.5575752,145
2023-01-12,0.656011,184
2023-01-13,0.5124943,187
2023-01-14,0.49271306,192
2023-01-15,0.40141135,97
2023-01-16,0.52205735,130
2023-01-17,0.59692657,276
2023-01-18,0.48903087,189
2023-01-19,0.3887693,335
2023-01-20,0.45471567,230
2023-01-21,0.36678767,232
2023-01-22,0.37137514,148
2023-01-23,0.6674326,199
2023-01-24,0.47527686,321
2023-01-25,0.5700688,249
2023-01-26,0.4854329,189
2023-01-27,0.3975108,271
2023-01-28,0.36122343,214
2023-01-29,0.24814084,223
2023-01-30,0.6091787,194
2023-01-31,0.56579167,174
2023-02-01,0.54268545,292
2023-02-02,0.47136796,150
2023-02-03,0.60936224,199
2023-02-04,0.25689974,189
2023-02-05,0.4441862,137
2023-02-06,0.48521906,233
2023-02-07,0.7367571,268
2023-02-08,0.50694263,112
2023-02-09,0.62755924,134
2023-02-10,0.45619833,97
2023-02-11,0.28741547,209
2023-02-12,0.63784206,95
2023-02-13,0.37554213,142
2023-02-14,0.63874954,257
2023-02-15,0.55698985,188
2023-02-16,0.42636165,174
2023-02-17,0.45168167,104
2023-02-18,0.4875256,212
2023-02-19,0.46489054,122
2023-02-20,0.43194884,189
2023-02-21,0.33825007,202
2023-02-22,0.5361917,208
2023-02-23,0.6493232,227
2023-02-24,0.45702168,267
2023-02-25,0.36616498,108
2023-02-26,0.34058863,117
2023-02-27,0.50024784,264
2023-02-28,0.43259808,218
2023-03-01,0.55816334,242
2023-03-02,0.46682176,204
2023-03-03,0.61651236,243
2023-03-04,0.43464416,92
2023-03-05,0.5533259,120
2023-03-06,0.4007692,265
2023-03-07,0.5414486,170
2023-03-08,0.6060418,235
2023-03-09,0.44275826,180
2023-03-10,0.40253067,323
2023-03-11,0.20209348,127
2023-03-12,0.3712525,213
2023-03-13,0.49923447,360
2023-03-14,0.3872249,197
2023-03-15,0.5471549,399
2023-03-16,0.5642994,220
2023-03-17,0.51538223,328
2023-03-18,0.34114805,154
2023-03-19,0.34354475,165
2023-03-20,0.4906634,318
2023-03-21,0.45321828,335
2023-03-22,0.5337038,228
2023-03-23,0.48772928,312
2023-03-24,0.57765645,343
2023-03-25,0.6191661,146
2023-03-26,0.49008235,150
2023-03-27,0.59019834,300
2023-03-28,0.53820467,262
2023-03-29,0.42626908,315
2023-03-30,0.639834,254
2023-03-31,0.7114857,281
2023-04-01,0.458611,102
2023-04-02,0.63122535,147
2023-04-03,0.70170474,325
2023-04-04,0.651136,158
2023-04-05,0.57257223,232
2023-04-06,0.68719727,253
2023-04-07,0.40882576,146
2023-04-08,0.4229199,91
2023-04-09,0.47102213,91
2023-04-10,0.63708967,215
2023-04-11,0.62527764,156
2023-04-12,0.5842371,246
2023-04-13,0.6581549,260
2023-04-14,0.6279945,243
2023-04-15,0.50053716,159
2023-04-16,0.4298919,109
2023-04-17,0.5319122,263
2023-04-18,0.49337438,304
2023-04-19,0.55568093,194
2023-04-20,0.5537244,254
2023-04-21,0.5433551,199
2023-04-22,0.58084697,137
2023-04-23,0.50268704,69
2023-04-24,0.593195,219
2023-04-25,0.5643293,162
2023-04-26,0.5018012,205
2023-04-27,0.39678428,236
2023-04-28,0.32151312,206
2023-04-29,0.62944555,116
2023-04-30,0.6375855,103
2023-05-01,0.5354419,235
2023-05-02,0.531623,214
2023-05-03,0.5497157,240
2023-05-04,0.40761918,286
2023-05-05,0.4134694,223
2023-05-06,0.56541365,146
2023-05-07,0.51265484,119
2023-05-08,0.5422242,201
2023-05-09,0.59992516,226
2023-05-10,0.5357797,186
2023-05-11,0.435069,248
2023-05-12,0.45056382,177
2023-05-13,0.4355634,89
2023-05-14,0.36771297,92
2023-05-15,0.6404158,165
2023-05-16,0.4593586,163
2023-05-17,0.6975565,203
2023-05-18,0.49350893,167
2023-05-19,0.4935822,234
2023-05-20,0.4997039,95
2023-05-21,0.45680046,110
2023-05-22,0.44884676,166
2023-05-23,0.4808825,133
2023-05-24,0.46716815,170
2023-05-25,0.5046816,137
2023-05-26,0.40929067,144
2023-05-27,0.58983976,74
2023-05-28,0.46080545,87
2023-05-29,0.48012426,76
2023-05-30,0.62326926,213
2023-05-31,0.49199238,206
2023-06-01,0.4979894,172
2023-06-02,0.4451783,202
2023-06-03,0.35411483,103
2023-06-04,0.29802912,102
2023-06-05,0.5045373,219
2023-06-06,0.5669201,174
2023-06-07,0.521875,213
2023-06-08,0.48217615,165
2023-06-09,0.53844315,176
2023-06-10,0.47320402,77
2023-06-11,0.49312645,97
2023-06-12,0.42852044,121
2023-06-13,0.39815825,112
2023-06-14,0.5917996,161
2023-06-15,0.4246804,204
2023-06-16,0.530752,154
2023-06-17,0.39122087,88
2023-06-18,0.51747525,85
2023-06-19,0.55691206,147
2023-06-20,0.53977203,175
2023-06-21,0.59480166,207
2023-06-22,0.4851921,196
2023-06-23,0.55206656,142
2023-06-24,0.47512922,112
2023-06-25,0.50357956,82
2023-06-26,0.5616736,212
2023-06-27,0.42485625,183
2023-06-28,0.40305275,208
2023-06-29,0.4346603,236
2023-06-30,0.54348665,166
2023-07-01,0.60826164,103
2023-07-02,0.50667214,65
2023-07-03,0.49004897,159
2023-07-04,0.5983229,144
2023-07-05,0.47546265,142
2023-07-06,0.4595209,151
2023-07-07,0.5043715,123
2023-07-08,0.4706321,150
2023-07-09,0.49807695,95
2023-07-10,0.5423709,152
2023-07-11,0.59874326,135
2023-07-12,0.49839061,144
2023-07-13,0.62347716,160
2023-07-14,0.39131966,218
2023-07-15,0.5465112,108
2023-07-16,0.6255621,93
2023-07-17,0.5978164,238
2023-07-18,0.5038735,204
2023-07-19,0.625727,225
2023-07-20,0.51577973,217
2023-07-21,0.60591304,177
2023-07-22,0.26541942,191
2023-07-23,0.49658728,161
2023-07-24,0.501035,150
2023-07-25,0.543037,163
2023-07-26,0.6400298,227
2023-07-27,0.48385146,196
2023-07-28,0.47574225,156
2023-07-29,0.45813984,170
2023-07-30,0.45002592,142
2023-07-31,0.57011354,164
2023-08-01,0.64807725,231
2023-08-02,0.5623174,165
2023-08-03,0.6568026,254
2023-08-04,0.47772703,209
2023-08-05,0.5031613,113
2023-08-06,0.64541847,133
2023-08-07,0.48546925,166
2023-08-08,0.61878747,266
2023-08-09,0.5452943,150
2023-08-10,0.4848413,168
2023-08-11,0.5482616,154
2023-08-12,0.47591954,84
2023-08-13,0.475372,131
2023-08-14,0.4126643,181
2023-08-15,0.41245735,176
2023-08-16,0.60983986,208
