date,sentiment,post_count
2018-01-01,0.34425035,30
2018-01-02,0.6177533,42
2018-01-03,0.50512105,51
2018-01-04,0.4643566,23
2018-01-05,0.5540639,68
2018-01-06,0.5451001,58
2018-01-07,0.57522243,34
2018-01-08,0.42300192,52
2018-01-09,0.37563542,44
2018-01-10,0.5665051,47
2018-01-11,0.5321323,47
2018-01-12,0.44528496,55
2018-01-13,0.46666795,26
2018-01-14,0.4017302,53
2018-01-15,0.5032804,39
2018-01-16,0.62892467,51
2018-01-17,0.37604123,70
2018-01-18,0.41230533,57
2018-01-19,0.41393632,50
2018-01-20,0.38107213,64
2018-01-21,0.36015123,27
2018-01-22,0.5837318,32
2018-01-23,0.5907144,65
2018-01-24,0.52302724,70
2018-01-25,0.51181877,58
2018-01-26,0.3257725,48
2018-01-27,0.4883235,33
2018-01-28,0.5909743,45
2018-01-29,0.24476744,30
2018-01-30,0.49668056,65
2018-01-31,0.5142241,43
2018-02-01,0.48348102,53
2018-02-02,0.33600178,51
2018-02-03,0.37781876,37
2018-02-04,0.42442554,41
2018-02-05,0.3957691,51
2018-02-06,0.56077826,88
2018-02-07,0.56240094,50
2018-02-08,0.54577047,43
2018-02-09,0.4030048,48
2018-02-10,0.48109743,28
2018-02-11,0.39812165,25
2018-02-12,0.5211245,63
2018-02-13,0.57096905,43
2018-02-14,0.33507702,22
2018-02-15,0.38597247,24
2018-02-16,0.36781675,20
2018-02-17,0.48274657,19
2018-02-18,0.39303848,20
2018-02-19,0.7676099,33
2018-02-20,0.3060363,36
2018-02-21,0.5775602,62
2018-02-22,0.5928701,39
2018-02-23,0.59321535,47
2018-02-24,0.55282575,21
2018-02-25,0.53161377,19
2018-02-26,0.73287714,31
2018-02-27,0.5242232,82
2018-02-28,0.5617982,72
2018-03-01,0.49984685,54
2018-03-02,0.53338176,32
2018-03-03,0.42982715,23
2018-03-04,0.48089352,33
2018-03-05,0.53816086,45
2018-03-06,0.34211648,42
2018-03-07,0.36355206,23
2018-03-08,0.37773415,57
2018-03-09,0.38462108,30
2018-03-10,0.69040513,9
2018-03-11,0.35994485,12
2018-03-12,0.34789556,34
2018-03-13,0.28458598,35
2018-03-14,0.26006934,38
2018-03-15,0.4460971,27
2018-03-16,0.40821669,39
2018-03-17,0.40001875,21
2018-03-18,0.3880486,25
2018-03-19,0.393669,33
2018-03-20,0.4766298,23
2018-03-21,0.35964203,32
2018-03-22,0.43430474,26
2018-03-23,0.2917429,18
2018-03-24,0.3417835,21
2018-03-25,0.4719443,33
2018-03-26,0.53780156,17
2018-03-27,0.21190995,18
2018-03-28,0.2977186,20
2018-03-29,0.32224637,38
2018-03-30,0.43282148,19
2018-03-31,0.37118545,18
2018-04-01,0.66959447,19
2018-04-02,0.2623864,20
2018-04-03,0.44666302,24
2018-04-04,0.5056579,36
2018-04-05,0.2822887,34
2018-04-06,0.4488421,45
2018-04-07,0.5579928,14
2018-04-08,0.49571058,23
2018-04-09,0.42123276,28
2018-04-10,0.35401055,30
2018-04-11,0.3018347,21
2018-04-12,0.37893835,26
2018-04-13,0.2660402,56
2018-04-14,0.33216757,15
2018-04-15,0.55102706,17
2018-04-16,0.4351006,26
2018-04-17,0.40602913,38
2018-04-18,0.3881832,25
2018-04-19,0.40824315,23
2018-04-20,0.39483345,23
2018-04-21,0.42057416,44
2018-04-22,0.461396,24
2018-04-23,0.33002698,22
2018-04-24,0.3448452,44
2018-04-25,0.2533583,26
2018-04-26,0.3825436,26
2018-04-27,0.51750505,47
2018-04-28,0.40758598,31
2018-04-29,0.33075064,55
2018-04-30,0.4631264,34
2018-05-01,0.54724956,44
2018-05-02,0.2782359,34
2018-05-03,0.36951083,50
2018-05-04,0.37391615,28
2018-05-05,0.36766887,27
2018-05-06,0.43118277,33
2018-05-07,0.40608287,42
2018-05-08,0.6031378,24
2018-05-09,0.45309883,27
2018-05-10,0.47546893,31
2018-05-11,0.53941727,21
2018-05-12,0.28044498,38
2018-05-13,0.45966542,24
2018-05-14,0.35762826,57
2018-05-15,0.3582887,41
2018-05-16,0.39642537,27
2018-05-17,0.27421635,18
2018-05-18,0.5804021,28
2018-05-19,0.2707087,33
2018-05-20,0.43281415,21
2018-05-21,0.34575066,34
2018-05-22,0.528048,27
2018-05-23,0.46899092,35
2018-05-24,0.36067978,27
2018-05-25,0.5237308,57
2018-05-26,0.4246763,22
2018-05-27,0.59649616,24
2018-05-28,0.49926212,21
2018-05-29,0.42305976,44
2018-05-30,0.4865448,37
2018-05-31,0.3211586,61
2018-06-01,0.572235,53
2018-06-02,0.2376555,21
2018-06-03,0.3896767,13
2018-06-04,0.54431784,25
2018-06-05,0.31676537,20
2018-06-06,0.4130134,30
2018-06-07,0.35451722,72
2018-06-08,0.4893232,14
2018-06-09,0.34771627,26
2018-06-10,0.50973606,16
2018-06-11,0.2619657,28
2018-06-12,0.32076886,81
2018-06-13,0.5692427,59
2018-06-14,0.47954184,19
2018-06-15,0.46287733,42
2018-06-16,0.3587579,11
2018-06-17,0.68472075,22
2018-06-18,0.3192691,37
2018-06-19,0.50806445,27
2018-06-20,0.3937338,62
2018-06-21,0.30251595,27
2018-06-22,0.26749906,35
2018-06-23,0.24273784,15
2018-06-24,0.6221424,29
2018-06-25,0.18249674,37
2018-06-26,0.3838429,32
2018-06-27,0.5541967,32
2018-06-28,0.33375135,36
2018-06-29,0.4270131,43
2018-06-30,0.48374557,7
2018-07-01,0.36209828,28
2018-07-02,0.50842476,38
2018-07-03,0.28409347,15
2018-07-04,0.42429838,21
2018-07-05,0.26868942,20
2018-07-06,0.42044634,26
