date,weighted_sentiment,total_mentions,num_tickers,sentiment_ma7,sentiment_ma30,momentum,week,month
2022-01-01,0.7030938102776169,117.0,41.0,,,,52,2022-01
2022-01-02,0.387746932487125,115.0,20.0,,,,52,2022-01
2022-01-03,0.32750394411608985,183.0,50.0,,,,1,2022-01
2022-01-04,0.4324254940742817,176.0,32.0,,,,1,2022-01
2022-01-05,0.28386207484358617,215.0,48.0,,,,1,2022-01
2022-01-06,0.47891780497737363,673.0,69.0,,,,1,2022-01
2022-01-07,0.4646624479981842,273.0,34.0,0.4397446441106082,,,1,2022-01
2022-01-08,0.6923198907160452,233.0,30.0,0.4382055127446694,,,1,2022-01
2022-01-09,0.25032728227244605,134.0,28.0,0.41857413414257244,,,1,2022-01
2022-01-10,0.5364831656326229,300.0,48.0,0.44842830864493427,,,2,2022-01
2022-01-11,0.5133755098395753,265.0,51.0,0.4599925966114048,,,2,2022-01
2022-01-12,0.4675367362158117,357.0,46.0,0.4862318339502942,,,2,2022-01
2022-01-13,0.39332662073449576,234.0,37.0,0.47400452191559733,,,2,2022-01
2022-01-14,0.6417203899228382,238.0,39.0,0.49929851361911926,,,2,2022-01
2022-01-15,0.6153958357855795,63.0,23.0,0.48830936291476706,,,2,2022-01
2022-01-16,0.44735386881487654,194.0,45.0,0.5164560181351143,,,2,2022-01
2022-01-17,0.5055675074618695,145.0,40.0,0.5120394955392923,,,3,2022-01
2022-01-18,0.6269963718063436,164.0,31.0,0.5282710472488307,,,3,2022-01
2022-01-19,0.568447006094746,344.0,46.0,0.5426868000886784,,,3,2022-01
2022-01-20,0.5746570010877414,224.0,38.0,0.568591140139142,,,3,2022-01
2022-01-21,0.5473399261182005,165.0,36.0,0.5551082167384795,,,3,2022-01
2022-01-22,0.21872601308568845,240.0,61.0,0.4984410992099237,,,3,2022-01
2022-01-23,0.5571694642675515,78.0,24.0,0.5141290414174486,,,3,2022-01
2022-01-24,0.4226363166296258,153.0,43.0,0.5022817284414139,,,4,2022-01
2022-01-25,0.29817626603078157,307.0,48.0,0.45530742761633364,,,4,2022-01
2022-01-26,0.5671047131732727,300.0,59.0,0.45511567148469456,,,4,2022-01
2022-01-27,0.5308816250631804,222.0,47.0,0.4488620463383287,,,4,2022-01
2022-01-28,0.17432869412546415,86.0,29.0,0.39557472748222355,,,4,2022-01
2022-01-29,0.2007895382669042,102.0,49.0,0.3930123739366829,,,4,2022-01
2022-01-30,0.5838144143966779,73.0,31.0,0.39681879538370096,0.4670895555438866,-0.07027076016018563,4,2022-01
2022-01-31,0.31308950004900143,496.0,67.0,0.3811692501578975,0.4540894118695994,-0.0729201617117019,5,2022-01
2022-02-01,0.46086201083079137,193.0,31.0,0.4044100708436132,0.45652658114772154,-0.052116510304108354,5,2022-02
2022-02-02,0.41710487812809854,249.0,49.0,0.3829815229800168,0.45951327894812183,-0.07653175596810502,5,2022-02
2022-02-03,0.16897635678988654,143.0,41.0,0.3312807703695463,0.45073164103864205,-0.11945087066909577,5,2022-02
2022-02-04,0.5196333348494693,356.0,57.0,0.38061000475868983,0.4585906830388381,-0.07798067828014826,5,2022-02
2022-02-05,0.509994297721905,203.0,40.0,0.4247821132522614,0.45962656613032243,-0.03484445287806104,5,2022-02
2022-02-06,0.30377282913124887,109.0,30.0,0.3847761725000573,0.454263578834758,-0.06948740633470069,5,2022-02
2022-02-07,0.39047316485294353,222.0,39.0,0.39583098175776327,0.4442020213059879,-0.04837103954822464,6,2022-02
2022-02-08,0.5098210833465951,358.0,40.0,0.40282513497430666,0.45285181467512625,-0.05002667970081959,6,2022-02
2022-02-09,0.6499669692789515,240.0,52.0,0.43609114799585713,0.45663460813000384,-0.020543460134146707,6,2022-02
