date,sentiment,post_count
2022-01-01,0.7938429,138
2022-01-02,0.6385835,65
2022-01-03,0.7203533,187
2022-01-04,0.6356582,135
2022-01-05,0.6989805,199
2022-01-06,0.7571204,300
2022-01-07,0.5601499,182
2022-01-08,0.74354684,124
2022-01-09,0.69638693,146
2022-01-10,0.58126867,213
2022-01-11,0.71638983,188
2022-01-12,0.5931858,223
2022-01-13,0.5687883,194
2022-01-14,0.69098246,165
2022-01-15,0.74901676,99
2022-01-16,0.51598686,135
2022-01-17,0.5082669,155
2022-01-18,0.5680362,171
2022-01-19,0.55249494,257
2022-01-20,0.51403326,235
2022-01-21,0.5177366,215
2022-01-22,0.58362496,146
2022-01-23,0.4740289,104
2022-01-24,0.4108991,209
2022-01-25,0.61784196,228
2022-01-26,0.5335733,229
2022-01-27,0.51208746,168
2022-01-28,0.50127393,140
2022-01-29,0.6049892,96
2022-01-30,0.501072,96
2022-01-31,0.6098163,242
2022-02-01,0.6479534,176
2022-02-02,0.6089573,193
2022-02-03,0.5033841,157
2022-02-04,0.6422151,214
2022-02-05,0.5903997,122
2022-02-06,0.54943025,78
2022-02-07,0.73166335,165
2022-02-08,0.5965127,242
2022-02-09,0.7231047,202
2022-02-10,0.5082688,169
2022-02-11,0.48597875,149
2022-02-12,0.6988259,159
2022-02-13,0.61601907,136
2022-02-14,0.598032,166
2022-02-15,0.6394197,134
2022-02-16,0.7497981,315
2022-02-17,0.5958044,189
2022-02-18,0.47935537,178
2022-02-19,0.7332822,134
2022-02-20,0.6190094,93
2022-02-21,0.65831894,159
2022-02-22,0.603623,150
2022-02-23,0.5500025,136
2022-02-24,0.5349064,128
2022-02-25,0.5191642,132
2022-02-26,0.78008246,126
2022-02-27,0.4926063,76
2022-02-28,0.5038903,145
2022-03-01,0.60538346,131
2022-03-02,0.43650445,124
2022-03-03,0.49942634,109
2022-03-04,0.5074947,117
2022-03-05,0.63290524,134
2022-03-06,0.50212115,120
2022-03-07,0.4855493,135
2022-03-08,0.48654526,148
2022-03-09,0.540894,244
2022-03-10,0.3507919,89
2022-03-11,0.65308183,115
2022-03-12,0.50019956,166
2022-03-13,0.60438603,62
2022-03-14,0.58380854,144
2022-03-15,0.5867943,176
2022-03-16,0.7343534,141
2022-03-17,0.60084426,105
2022-03-18,0.69162095,94
2022-03-19,0.610452,103
2022-03-20,0.6080414,49
2022-03-21,0.6119044,158
2022-03-22,0.6197242,117
2022-03-23,0.66537684,180
2022-03-24,0.5912372,146
2022-03-25,0.70372045,185
2022-03-26,0.6595515,160
2022-03-27,0.5826577,80
2022-03-28,0.6961906,134
2022-03-29,0.60295165,159
2022-03-30,0.6372226,166
2022-03-31,0.6018146,154
2022-04-01,0.59031355,163
2022-04-02,0.6150863,97
2022-04-03,0.62771904,94
2022-04-04,0.7730791,159
2022-04-05,0.71255636,177
2022-04-06,0.53417724,137
2022-04-07,0.7155541,149
2022-04-08,0.6145252,170
2022-04-09,0.5310502,131
2022-04-10,0.69324636,163
2022-04-11,0.48039263,125
2022-04-12,0.50971997,143
2022-04-13,0.6059423,149
2022-04-14,0.7722889,193
2022-04-15,0.5652278,118
2022-04-16,0.61188173,61
2022-04-17,0.50375456,58
2022-04-18,0.64413065,205
2022-04-19,0.45002782,145
2022-04-20,0.6480159,194
2022-04-21,0.5961968,170
2022-04-22,0.4211638,76
2022-04-23,0.6802896,82
2022-04-24,0.54296577,56
2022-04-25,0.5122755,211
2022-04-26,0.6692661,102
2022-04-27,0.56385404,105
2022-04-28,0.6798875,106
2022-04-29,0.40819338,78
2022-04-30,0.58582056,107
2022-05-01,0.54350007,103
2022-05-02,0.66956073,185
2022-05-03,0.6545581,186
2022-05-04,0.7288481,164
2022-05-05,0.47282758,64
2022-05-06,0.5856529,121
2022-05-07,0.5939253,102
2022-05-08,0.5189854,114
2022-05-09,0.589911,140
2022-05-10,0.5784512,148
2022-05-11,0.55644745,110
2022-05-12,0.41126895,136
2022-05-13,0.34557167,132
2022-05-14,0.7183296,84
2022-05-15,0.75145817,69
2022-05-16,0.6638171,145
2022-05-17,0.56999755,160
2022-05-18,0.4764611,119
2022-05-19,0.39134797,111
2022-05-20,0.67055523,107
2022-05-21,0.61272705,90
2022-05-22,0.68575096,79
2022-05-23,0.63499784,198
2022-05-24,0.55578786,168
2022-05-25,0.6360355,130
2022-05-26,0.621474,99
2022-05-27,0.65016025,106
2022-05-28,0.5030622,41
2022-05-29,0.57204795,49
2022-05-30,0.6768731,104
2022-05-31,0.51846516,81
2022-06-01,0.45744914,108
2022-06-02,0.65077853,77
2022-06-03,0.64477503,138
2022-06-04,0.46535736,56
2022-06-05,0.63846475,67
2022-06-06,0.51587284,163
2022-06-07,0.64176655,156
2022-06-08,0.58024293,154
2022-06-09,0.5965406,91
2022-06-10,0.63806415,149
2022-06-11,0.5762759,57
2022-06-12,0.6433262,122
2022-06-13,0.49480942,106
2022-06-14,0.4462489,162
2022-06-15,0.37606493,155
2022-06-16,0.58544576,121
2022-06-17,0.6830299,123
2022-06-18,0.47196704,106
2022-06-19,0.47859624,82
2022-06-20,0.30468497,101
2022-06-21,0.6020868,169
2022-06-22,0.5921316,153
2022-06-23,0.43574333,152
2022-06-24,0.6542466,89
2022-06-25,0.37692514,55
2022-06-26,0.53970426,87
2022-06-27,0.5867756,138
2022-06-28,0.61414754,164
2022-06-29,0.5474041,121
2022-06-30,0.6226709,139
2022-07-01,0.6028181,156
2022-07-02,0.8033408,179
2022-07-03,0.6783998,65
2022-07-04,0.5759296,81
2022-07-05,0.59440297,136
2022-07-06,0.66398877,132
2022-07-07,0.5047107,103
2022-07-08,0.6826331,138
2022-07-09,0.43039042,75
2022-07-10,0.32138115,39
2022-07-11,0.5919767,96
2022-07-12,0.618904,164
2022-07-13,0.575453,125
2022-07-14,0.44128016,145
2022-07-15,0.56698805,125
2022-07-16,0.5286112,41
2022-07-17,0.4338999,61
2022-07-18,0.67729867,161
2022-07-19,0.54991364,93
2022-07-20,0.64760226,128
2022-07-21,0.51535094,142
2022-07-22,0.6864934,173
2022-07-23,0.4152248,69
2022-07-24,0.32483825,93
2022-07-25,0.74005425,229
2022-07-26,0.5628822,165
2022-07-27,0.5333683,198
2022-07-28,0.6526402,212
2022-07-29,0.73545057,160
2022-07-30,0.36114582,80
2022-07-31,0.5842512,72
2022-08-01,0.5956863,187
2022-08-02,0.5854439,197
2022-08-03,0.5602955,148
2022-08-04,0.48514697,168
2022-08-05,0.51128125,151
2022-08-06,0.599426,71
2022-08-07,0.59576786,77
2022-08-08,0.7386341,153
2022-08-09,0.46112746,150
2022-08-10,0.5838424,145
2022-08-11,0.6430068,144
2022-08-12,0.71886873,192
2022-08-13,0.6430856,86
2022-08-14,0.53125536,115
2022-08-15,0.68506116,109
2022-08-16,0.6928946,142
2022-08-17,0.5443677,171
2022-08-18,0.4210552,175
2022-08-19,0.61919373,249
2022-08-20,0.26305223,140
2022-08-21,0.23191237,94
2022-08-22,0.6742237,188
2022-08-23,0.53415775,138
2022-08-24,0.62170416,157
2022-08-25,0.5539859,164
2022-08-26,0.5643205,210
2022-08-27,0.36891896,139
2022-08-28,0.6711516,62
2022-08-29,0.5906377,175
2022-08-30,0.72188383,219
2022-08-31,0.55059755,196
2022-09-01,0.5949252,189
2022-09-02,0.59131354,184
2022-09-03,0.5541566,107
2022-09-04,0.30929372,92
2022-09-05,0.6222336,126
2022-09-06,0.46174902,161
2022-09-07,0.5206808,185
2022-09-08,0.6267602,146
2022-09-09,0.68966246,219
2022-09-10,0.5566118,88
2022-09-11,0.73302263,86
2022-09-12,0.71661973,194
2022-09-13,0.544639,193
2022-09-14,0.5777804,264
2022-09-15,0.60109174,153
2022-09-16,0.38446504,161
2022-09-17,0.36211148,97
2022-09-18,0.5873755,147
2022-09-19,0.25844082,138
2022-09-20,0.71964663,194
2022-09-21,0.52928025,165
2022-09-22,0.7690105,252
2022-09-23,0.21456233,133
2022-09-24,0.53312576,188
2022-09-25,0.4183419,131
2022-09-26,0.4052325,213
2022-09-27,0.5498067,167
2022-09-28,0.3760693,179
2022-09-29,0.3541562,185
2022-09-30,0.593673,178
2022-10-01,0.6648004,229
2022-10-02,0.58966166,146
2022-10-03,0.52028376,169
2022-10-04,0.42572665,184
2022-10-05,0.6861048,122
2022-10-06,0.4839371,200
2022-10-07,0.53480446,150
2022-10-08,0.4228294,194
2022-10-09,0.3956428,105
2022-10-10,0.52202684,200
2022-10-11,0.40454563,168
2022-10-12,0.696307,222
2022-10-13,0.30285066,147
2022-10-14,0.4917182,188
2022-10-15,0.4913216,135
2022-10-16,0.36894953,127
2022-10-17,0.39039057,190
2022-10-18,0.7043965,308
2022-10-19,0.5474747,222
2022-10-20,0.6716031,184
2022-10-21,0.5161064,120
2022-10-22,0.20850247,143
2022-10-23,0.5139805,185
2022-10-24,0.5249252,203
2022-10-25,0.5976215,225
2022-10-26,0.44106326,185
2022-10-27,0.59228855,175
2022-10-28,0.34306386,254
2022-10-29,0.40484512,156
2022-10-30,0.5900713,117
2022-10-31,0.51777065,145
2022-11-01,0.4606411,142
2022-11-02,0.59826255,135
2022-11-03,0.6328823,153
2022-11-04,0.60825473,206
2022-11-05,0.53379637,116
2022-11-06,0.4562863,147
2022-11-07,0.6169362,167
2022-11-08,0.6863946,180
2022-11-09,0.49483863,186
2022-11-10,0.41246933,160
2022-11-11,0.4258964,178
2022-11-12,0.55152535,187
2022-11-13,0.543059,135
2022-11-14,0.5602976,303
2022-11-15,0.5910013,174
2022-11-16,0.6754096,282
2022-11-17,0.49630263,135
2022-11-18,0.49015597,128
2022-11-19,0.705575,134
2022-11-20,0.4536569,94
2022-11-21,0.55804086,120
2022-11-22,0.4993298,204
2022-11-23,0.59742904,225
2022-11-24,0.46327776,113
2022-11-25,0.77168494,158
2022-11-26,0.31701908,98
2022-11-27,0.41170648,65
2022-11-28,0.76321334,135
